number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_label_smoothing,params_lr,params_n_context_tokens,params_n_cross_layers,params_n_encoder_layers,params_n_heads,params_warmup_epochs,params_weight_decay,state
10,0.3799782098968671,2026-03-24 17:13:03.134795,2026-03-24 17:41:24.085642,0 days 00:28:20.950847,32,0.22022592921973844,128,0.042114143135955635,0.00010621642207377151,32,1,3,8,26,2.071454421184031e-05,COMPLETE
11,0.3491005555138838,2026-03-24 17:41:24.086295,2026-03-24 18:10:27.550802,0 days 00:29:03.464507,32,0.235500973962346,128,0.04877138008985556,0.00010170052852535582,32,1,3,8,27,1.2276100913200673e-05,COMPLETE
12,0.39103147557358375,2026-03-24 18:10:27.551446,2026-03-24 18:36:38.175593,0 days 00:26:10.624147,32,0.23711971530652654,128,0.04423209977347276,0.00011835893029535585,32,1,3,8,25,2.7875463968377667e-05,COMPLETE
13,0.425577823069106,2026-03-24 18:36:38.176253,2026-03-24 19:02:48.755254,0 days 00:26:10.579001,32,0.2819979231022701,128,0.10547796659186173,0.0012356505612214986,32,2,3,8,22,4.5046017246530825e-05,COMPLETE
14,0.41711927789637776,2026-03-24 19:02:48.755904,2026-03-24 19:28:51.264747,0 days 00:26:02.508843,32,0.29246394537522874,128,0.10701844888230508,0.0012427510675203158,32,2,3,8,21,0.0006354602789210924,COMPLETE
15,0.5471621123135478,2026-03-24 19:28:51.265525,2026-03-24 20:07:28.237533,0 days 00:38:36.972008,32,0.3379443444659825,128,0.1149064474899265,0.0011224519738134181,16,2,3,8,23,0.0006604998402767693,COMPLETE
16,0.4797869774269205,2026-03-24 20:07:28.238294,2026-03-24 20:54:54.201360,0 days 00:47:25.963066,32,0.3507188691454223,128,0.12051242689246022,0.001056897832852975,16,2,2,8,23,7.149578127809481e-05,COMPLETE
17,0.44487679959305493,2026-03-24 20:54:54.202357,2026-03-24 21:29:37.552845,0 days 00:34:43.350488,32,0.36017315636812813,128,0.14584111333379549,0.000810308157094571,16,2,2,8,30,9.606535245568791e-05,COMPLETE
18,0.2975164260132074,2026-03-24 21:29:37.553518,2026-03-24 21:46:52.641489,0 days 00:17:15.087971,32,0.47491821921837823,128,0.11533506771669091,0.0015863746828881139,16,2,2,8,23,0.000772047850227125,COMPLETE
19,0.4091464370662881,2026-03-24 21:46:52.642168,2026-03-24 22:03:08.136003,0 days 00:16:15.493835,64,0.3465132639598042,128,0.13116588171857976,0.0007565839153139771,16,2,2,8,16,0.0002027572180024228,COMPLETE
20,0.3689478900959604,2026-03-24 22:03:08.136695,2026-03-24 22:35:07.909243,0 days 00:31:59.772548,32,0.4277404516814587,128,0.14989402156256584,0.0003526137922041849,16,2,2,8,30,0.0011593938007152232,COMPLETE
21,0.4312777847095772,2026-03-24 22:35:07.909933,2026-03-24 23:12:51.162827,0 days 00:37:43.252894,32,0.3562626770320778,128,0.14532888398554974,0.0008117399816275474,16,2,2,8,30,6.381007691325093e-05,COMPLETE
22,0.4912785916668833,2026-03-24 23:12:51.163463,2026-03-24 23:54:57.588907,0 days 00:42:06.425444,32,0.3914241161704199,128,0.11635096034313817,0.0009333660373951664,16,2,2,8,28,8.917624654686004e-05,COMPLETE
23,0.38983641214079423,2026-03-24 23:54:57.589557,2026-03-25 00:10:21.803740,0 days 00:15:24.214183,32,0.41390525327738137,128,0.11609483573770966,0.00200745095993059,16,2,2,8,24,0.0003932232390303458,COMPLETE
24,0.45655535452172824,2026-03-25 00:10:21.804396,2026-03-25 00:46:00.684448,0 days 00:35:38.880052,32,0.31923935532724745,128,0.09636872792353739,0.0011469423790623292,16,2,3,8,20,0.0001892209709091435,COMPLETE
25,0.35237804278490753,2026-03-25 00:46:00.685053,2026-03-25 01:05:07.413795,0 days 00:19:06.728742,32,0.38296899446215266,256,0.1263326522914661,0.0005986110660596977,16,2,2,8,27,0.0024882577837731998,COMPLETE
26,0.3279912662246857,2026-03-25 01:05:07.414398,2026-03-25 01:19:20.463617,0 days 00:14:13.049219,32,0.4509035408703325,128,0.11112672319231545,0.0023826708606871708,16,3,2,8,16,9.09005776242888e-06,COMPLETE
27,0.49036005165819413,2026-03-25 01:19:20.464227,2026-03-25 01:36:26.728874,0 days 00:17:06.264647,64,0.2726381826586606,128,0.09928637171171079,0.0010581856098791553,8,2,3,8,27,8.772597367779565e-05,COMPLETE
28,0.4365784733105304,2026-03-25 01:36:26.729481,2026-03-25 01:50:36.400768,0 days 00:14:09.671287,64,0.2697847388383272,128,0.09991190282813134,0.00044128570648398283,8,2,3,2,28,0.00039236359409726537,COMPLETE
