number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_label_smoothing,params_lr,params_n_encoder_layers,params_warmup_epochs,params_weight_decay,state
27,0.42400519552318044,2026-03-25 20:52:14.524541,2026-03-25 20:56:47.290718,0 days 00:04:32.766177,32,0.4734633088694851,256,0.06052724523326417,0.002678462460953527,2,24,1.0087337412392685e-06,COMPLETE
28,0.38864715922562315,2026-03-25 20:56:47.291561,2026-03-25 20:58:04.178064,0 days 00:01:16.886503,128,0.4419341405559844,256,0.03317693986805168,0.0038915279676404605,2,12,7.723972435546197e-05,COMPLETE
29,0.43716087480486615,2026-03-25 20:58:04.178891,2026-03-25 21:02:19.523437,0 days 00:04:15.344546,32,0.3433517606604677,256,0.08865595848525361,0.0019919254414326845,2,25,3.7840574456001826e-06,COMPLETE
30,0.4058868004971803,2026-03-25 21:02:19.524348,2026-03-25 21:13:34.292051,0 days 00:11:14.767703,32,0.34095841241068314,256,0.10038694502650966,0.00478757180757745,4,29,2.8771959542781924e-06,COMPLETE
31,0.4560666161916583,2026-03-25 21:13:34.293054,2026-03-25 21:20:33.092127,0 days 00:06:58.799073,32,0.2529731812086117,256,0.08535092502424546,0.002189062248223577,2,25,4.282586770052797e-06,COMPLETE
32,0.41096140658509256,2026-03-25 21:20:33.093944,2026-03-25 21:26:40.858437,0 days 00:06:07.764493,32,0.2423850921240477,256,0.08779211139288884,0.002604320329005239,2,21,9.7624506561423e-06,COMPLETE
33,0.383474702958426,2026-03-25 21:26:40.859296,2026-03-25 21:31:10.069005,0 days 00:04:29.209709,32,0.27218288056871326,256,0.10534950437949661,0.0009359185608795358,2,25,3.086536496805876e-06,COMPLETE
34,0.42876419633100377,2026-03-25 21:31:10.069868,2026-03-25 21:35:26.699813,0 days 00:04:16.629945,32,0.32066640106085936,256,0.09140811775822581,0.0017684660075276803,2,21,1.1814389369699722e-05,COMPLETE
35,0.37923734583685514,2026-03-25 21:35:26.701071,2026-03-25 21:40:06.337971,0 days 00:04:39.636900,32,0.18868399281430637,256,0.12983452694089864,0.0035523567427958188,2,30,3.463900706709637e-05,COMPLETE
36,0.3985181337987925,2026-03-25 21:40:06.338765,2026-03-25 21:46:51.840229,0 days 00:06:45.501464,32,0.2122945398680532,256,0.06681560842164569,0.00269236477262333,3,5,1.9414663623837924e-06,COMPLETE
37,0.3857552074618695,2026-03-25 21:46:51.841047,2026-03-25 21:53:36.557884,0 days 00:06:44.716837,32,0.3497860336687275,128,0.08215011140061984,0.0013553181138857425,2,8,4.06843064752787e-06,COMPLETE
38,0.41207483103484366,2026-03-25 21:53:36.558755,2026-03-25 21:58:35.266120,0 days 00:04:58.707365,32,0.25664179608367077,256,0.10935677836271768,0.0019521362857002,2,17,1.177502128654381e-06,COMPLETE
39,0.37523113783068746,2026-03-25 21:58:35.267093,2026-03-25 21:59:51.623215,0 days 00:01:16.356122,256,0.2865484531634851,256,0.09460777275504476,0.001014201427189116,4,28,9.323024567263478e-06,COMPLETE
40,0.40713347293147945,2026-03-25 21:59:51.624278,2026-03-25 22:04:52.130506,0 days 00:05:00.506228,32,0.32493647770378836,256,0.05142995057884513,0.0004421248111858241,2,24,2.1351010070727244e-05,COMPLETE
41,0.40927734893936746,2026-03-25 22:04:52.131436,2026-03-25 22:07:25.389891,0 days 00:02:33.258455,64,0.4810554573828347,128,0.07163355227155527,0.0023168064587741413,2,26,1.937783831906812e-06,COMPLETE
42,0.38967715502447264,2026-03-25 22:07:25.390756,2026-03-25 22:08:10.142216,0 days 00:00:44.751460,256,0.4531154105246491,256,0.009231331545592416,0.0036542604203746026,2,22,3.7487726929532755e-06,COMPLETE
43,0.4058862300872192,2026-03-25 22:08:10.143105,2026-03-25 22:10:08.105656,0 days 00:01:57.962551,64,0.39310295628670133,256,0.13234570301815313,0.003172350809183095,2,25,7.190120767133571e-06,COMPLETE
44,0.43831658460113104,2026-03-25 22:10:08.106466,2026-03-25 22:11:36.124946,0 days 00:01:28.018480,128,0.4812284867728479,256,0.036917812616139745,0.0018484632202671488,2,27,1.5806310099063314e-05,COMPLETE
45,0.32792905152828367,2026-03-25 22:11:36.125712,2026-03-25 22:12:41.905340,0 days 00:01:05.779628,128,0.14821691987980407,256,0.03673739984286149,0.0007410635812157952,2,28,3.731510399617167e-05,COMPLETE
46,0.42299383036074345,2026-03-25 22:12:41.906147,2026-03-25 22:14:22.499151,0 days 00:01:40.593004,128,0.47700205214371383,256,0.08098479470540204,0.0018856828868681365,3,27,1.976023312032052e-05,COMPLETE
47,0.31234709140135675,2026-03-25 22:14:22.499914,2026-03-25 22:16:02.157477,0 days 00:01:39.657563,128,0.22404045596547248,256,0.05172943790371676,0.00010369834867809659,2,24,0.00012510978639099948,COMPLETE
48,0.4251365627898134,2026-03-25 22:16:02.158266,2026-03-25 22:17:21.210626,0 days 00:01:19.052360,128,0.3089122819107235,256,0.06670663324520525,0.0029010267905212584,3,22,1.5040794809481243e-05,COMPLETE
49,0.4040278881128518,2026-03-25 22:17:21.211720,2026-03-25 22:18:41.273088,0 days 00:01:20.061368,128,0.41533592570500316,256,0.03709000634680837,0.004127264663209723,2,29,4.727874086237583e-06,COMPLETE
