number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.5096540616609772,2026-03-24 09:46:00.345905,2026-03-24 09:47:12.624370,0 days 00:01:12.278465,0.739367854408842,1.3384134435618573,0.013971520103449436,10,7,2000,3.404677878190553e-05,0.010478995733418038,0.5089809378074099,COMPLETE
11,0.5091472733330822,2026-03-24 09:47:12.625227,2026-03-24 09:47:30.265419,0 days 00:00:17.640192,0.9622950455665342,3.0976697156679958,0.01813684110051658,9,4,600,0.00616671688870147,1.2056318617638281e-08,0.6171221098127955,COMPLETE
12,0.5183363949469882,2026-03-24 09:47:30.266260,2026-03-24 09:47:57.063124,0 days 00:00:26.796864,0.7654443180602468,4.920817341558758,0.019636407061283462,5,3,1800,0.0014017636365860446,1.0533925122360175e-05,0.5055045416195403,COMPLETE
13,0.5133302414489592,2026-03-24 09:47:57.064111,2026-03-24 09:48:29.211014,0 days 00:00:32.146903,0.7018132207982415,3.93074614465718,0.017736862919955763,7,4,1900,0.0003392980045558475,3.0988964891489416e-05,0.5009345567953205,COMPLETE
14,0.4885781898013732,2026-03-24 09:48:29.212031,2026-03-24 09:49:03.264365,0 days 00:00:34.052334,0.7866389821986691,2.426550980987309,0.010675539740206795,12,6,1700,2.2479409809914492e-07,0.03285224662400435,0.9980084946806067,COMPLETE
15,0.5224918709643372,2026-03-24 09:49:03.265239,2026-03-24 09:49:32.332994,0 days 00:00:29.067755,0.6497222654627322,2.9990432952845807,0.026041848171132382,9,3,1700,1.1913068421542029e-08,6.243069797304142,0.6795350050461764,COMPLETE
16,0.5178025410441592,2026-03-24 09:49:32.333855,2026-03-24 09:50:19.430996,0 days 00:00:47.097141,0.4036938611975926,3.052113176684008,0.026463386507810722,10,6,1600,1.7578071939504844e-08,1.5274003111662025,0.6907347480796584,COMPLETE
17,0.5169311774135247,2026-03-24 09:50:19.432006,2026-03-24 09:52:47.642136,0 days 00:02:28.210130,0.6335789912530938,1.8752138508695042,0.008526328191895877,9,3,1200,2.1148988168580454e-06,9.42632267805476,0.6336744301333699,COMPLETE
18,0.5213019823505328,2026-03-24 09:52:47.642903,2026-03-24 09:53:44.837141,0 days 00:00:57.194238,0.40917606559053415,3.6277148318110717,0.1723153289466426,11,5,1500,2.2988045025829927e-08,7.465897195445307,0.7163728055902457,COMPLETE
19,0.5062145074176915,2026-03-24 09:53:44.837909,2026-03-24 09:54:55.455868,0 days 00:01:10.617959,0.6461322535535858,1.0209149318019781,0.025819547167175626,9,9,500,9.094256990628142e-07,0.10728784211896376,0.5887173220304807,COMPLETE
