number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conv_filters,params_dropout,params_lr,params_lstm_hidden,params_lstm_layers,params_seq_len,params_weight_decay,state
12,0.46409463326609196,2026-03-26 09:27:33.628196,2026-03-26 09:30:07.692773,0 days 00:02:34.064577,32,128,0.4931719829545079,0.0008980081347609119,256,1,5,7.495849797769728e-05,COMPLETE
13,0.47780389730467393,2026-03-26 09:30:07.693712,2026-03-26 09:33:09.944234,0 days 00:03:02.250522,32,128,0.4957987234687434,0.001326704048666782,128,1,5,6.39455748777738e-05,COMPLETE
14,0.47929057516569396,2026-03-26 09:33:09.945192,2026-03-26 09:37:15.935902,0 days 00:04:05.990710,32,64,0.42413318400912176,0.00041703188935133975,256,2,5,0.00030535720472424523,COMPLETE
15,0.47938525591420406,2026-03-26 09:37:15.936889,2026-03-26 09:40:30.571289,0 days 00:03:14.634400,32,128,0.4567287417071437,0.0013172549267173451,256,1,5,0.0002080962230659839,COMPLETE
16,0.4726708341577022,2026-03-26 09:40:30.572066,2026-03-26 09:42:29.274002,0 days 00:01:58.701936,32,128,0.10620415279769094,0.0012341099826268813,128,1,5,3.498638350066683e-05,COMPLETE
17,0.0,2026-03-26 09:42:29.274818,2026-03-26 09:44:56.162062,0 days 00:02:26.887244,32,128,0.39154100126039826,0.00011123573002888126,256,3,30,0.0012685264999107387,COMPLETE
18,0.45666030677247077,2026-03-26 09:44:56.162982,2026-03-26 09:47:20.843745,0 days 00:02:24.680763,32,64,0.2773099216774101,0.002207914221470305,256,1,5,1.879595341594297e-05,COMPLETE
19,0.4370523856959048,2026-03-26 09:47:20.844681,2026-03-26 09:50:50.518285,0 days 00:03:29.673604,32,128,0.4691196372462974,0.0005380646693773703,256,2,5,0.0001802597631460788,COMPLETE
20,0.3972205193493982,2026-03-26 09:50:50.519212,2026-03-26 09:51:36.151116,0 days 00:00:45.631904,128,128,0.3958574761976095,0.0008765964047145029,128,2,5,5.285199924966128e-06,COMPLETE
21,0.47060126188518975,2026-03-26 09:51:36.151969,2026-03-26 09:55:18.294865,0 days 00:03:42.142896,32,128,0.37056610869140333,0.002033027140973801,256,1,20,8.67145548136185e-06,COMPLETE
22,0.3098773495454102,2026-03-26 09:55:18.295836,2026-03-26 09:59:43.852525,0 days 00:04:25.556689,32,128,0.48006929183929165,0.0016974436587974737,256,1,30,3.447086714236739e-05,COMPLETE
23,0.4889091637004241,2026-03-26 09:59:43.853461,2026-03-26 10:04:15.793613,0 days 00:04:31.940152,32,128,0.4449923596722282,0.002846128613625564,256,1,20,1.0655070379011328e-05,COMPLETE
24,0.4596090540545898,2026-03-26 10:04:15.794549,2026-03-26 10:07:18.565378,0 days 00:03:02.770829,32,128,0.445058870737033,0.0040073631998132405,256,1,5,0.00011047512600480457,COMPLETE
