number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
13,0.5107668352009719,2026-03-24 09:43:52.624305,2026-03-24 09:44:01.430691,0 days 00:00:08.806386,0.6501547649965004,0.023747234848956633,12,32,400,74,8.053493591330478e-05,0.008180905933464131,0.8091756974595518,COMPLETE
14,0.4887844588501391,2026-03-24 09:44:01.431507,2026-03-24 09:44:04.078250,0 days 00:00:02.646743,0.778650606123379,0.09234563245473047,8,55,800,47,8.64266188053516,8.945526435496464e-06,0.5069702231234476,COMPLETE
15,0.4926579770432182,2026-03-24 09:44:04.079096,2026-03-24 09:44:10.601069,0 days 00:00:06.521973,0.4073207878128077,0.26453211468213766,10,26,900,101,0.005070516074681068,0.010632084631207316,0.8694277675548615,COMPLETE
16,0.5181117352512052,2026-03-24 09:44:10.601984,2026-03-24 09:44:18.389247,0 days 00:00:07.787263,0.4798320674010919,0.020032289432373344,4,46,1700,182,0.3588791745778776,1.314053143275926e-08,0.7244216816118434,COMPLETE
17,0.520876341469836,2026-03-24 09:44:18.390280,2026-03-24 09:44:29.047415,0 days 00:00:10.657135,0.5932592003582419,0.02004579910212444,4,46,2000,196,0.0005068082867108995,1.4348573912144282e-08,0.6384504710847247,COMPLETE
18,0.5206664987322333,2026-03-24 09:44:29.048403,2026-03-24 09:44:38.401091,0 days 00:00:09.352688,0.6257314031689131,0.011543768114032292,4,63,2000,223,0.00014021547203370562,1.8800511245895414e-07,0.6456964536401641,COMPLETE
19,0.5188605176039359,2026-03-24 09:44:38.401908,2026-03-24 09:44:53.248293,0 days 00:00:14.846385,0.7839920534346708,0.011403153714774123,6,67,2000,240,0.00011537320379061112,6.623147061812549e-08,0.6505152466626335,COMPLETE
20,0.5127607867900711,2026-03-24 09:44:53.249153,2026-03-24 09:45:03.762715,0 days 00:00:10.513562,0.9798064456857223,0.012340192443056733,4,91,1700,220,1.406353943041419e-05,1.3941020893526537e-07,0.5034435528837935,COMPLETE
21,0.5171708755104395,2026-03-24 09:45:03.763702,2026-03-24 09:45:18.878166,0 days 00:00:15.114464,0.771454108471778,0.01109940007050461,6,67,2000,260,0.00026753763781006007,9.16867614706466e-08,0.6393507898656654,COMPLETE
22,0.5058873484326386,2026-03-24 09:45:18.879261,2026-03-24 09:45:29.327121,0 days 00:00:10.447860,0.6153335617559557,0.029739936589605987,5,62,1800,236,4.308040573653186e-05,1.2479586112593395e-08,0.6328000989297549,COMPLETE
23,0.5241769335853469,2026-03-24 09:45:29.327973,2026-03-24 09:45:44.267949,0 days 00:00:14.939976,0.7528419146048861,0.011022920448529627,7,77,2000,179,2.579708256605178e-07,1.7851274115594905e-07,0.6882559972843159,COMPLETE
24,0.5229954378243181,2026-03-24 09:45:44.268745,2026-03-24 09:45:55.778721,0 days 00:00:11.509976,0.7310190003418566,0.01459878607926718,7,85,1600,180,1.7949488291747953e-08,4.112713935220857e-05,0.6855984709471108,COMPLETE
25,0.5222407212606466,2026-03-24 09:45:55.779624,2026-03-24 09:46:08.703054,0 days 00:00:12.923430,0.7175075052606682,0.01615279059729272,7,84,1500,169,1.5450244271507118e-08,5.272498854158852e-05,0.5956396042981639,COMPLETE
26,0.5126050369132993,2026-03-24 09:46:08.704029,2026-03-24 09:46:22.827247,0 days 00:00:14.123218,0.8385999138564093,0.008391352774650591,7,83,1600,167,1.5722852686294725e-08,4.683362080154188e-05,0.5534925112963192,COMPLETE
27,0.5204675607915454,2026-03-24 09:46:22.828048,2026-03-24 09:46:34.094014,0 days 00:00:11.265966,0.7408489791358446,0.015991248896039645,7,89,1500,159,3.0164807974758326e-07,2.7627523014641936e-05,0.7035136373791236,COMPLETE
28,0.5152017454420116,2026-03-24 09:46:34.094925,2026-03-24 09:46:49.511227,0 days 00:00:15.416302,0.674265480424767,0.005031956195083255,9,99,1800,140,1.1336980788558914e-08,3.818825028343674e-06,0.6818214608175236,COMPLETE
29,0.5149278078178302,2026-03-24 09:46:49.512091,2026-03-24 09:46:59.960843,0 days 00:00:10.448752,0.927932883722332,0.029695408946838343,7,73,1200,175,1.4537484793462067e-07,0.0001698373537529413,0.7702134535271609,COMPLETE
30,0.5233224829186717,2026-03-24 09:46:59.961689,2026-03-24 09:47:15.065990,0 days 00:00:15.104301,0.8229707370772475,0.008825976206897863,8,88,1600,199,6.368569778545219e-07,0.0023883561943955282,0.5964598510865343,COMPLETE
31,0.5219587420873681,2026-03-24 09:47:15.066810,2026-03-24 09:47:29.229541,0 days 00:00:14.162731,0.8146979717929053,0.009472796885657461,8,88,1600,197,5.90946779262432e-07,0.036027343143903386,0.6036626740866805,COMPLETE
32,0.5296853029410414,2026-03-24 09:47:29.230484,2026-03-24 09:47:43.510352,0 days 00:00:14.279868,0.7230451560457869,0.01421371302501194,9,82,1500,188,3.537206343231519e-08,0.0015210625610053553,0.5379341409404628,COMPLETE
33,0.5282693504836798,2026-03-24 09:47:43.511143,2026-03-24 09:47:58.900823,0 days 00:00:15.389680,0.7521829333748209,0.014842301900221205,9,95,1800,212,1.5546441261238122e-06,0.0012745408101822453,0.5381274315555612,COMPLETE
