feature,combined_rank,f_rank,mi_rank,boruta_rank,rfe_rank,rf_rank,xgb_rank,shap_rank,in_g3
Exchange_In_House_Flow__Mean_All_Exchanges,331.3,86.0,163.0,1151.0,13.0,202.0,193.0,100.0,False
WTI_Oil_Price,331.35,116.0,293.5,1122.0,9.0,231.0,25.0,175.0,False
Exchange_Inflow__Mean_All_Exchanges,332.45,258.0,45.0,1153.0,11.0,188.0,162.0,116.0,False
VelCur1yr,333.325,31.0,215.0,1049.0,12.0,229.0,303.5,115.0,False
VAR,334.875,196.0,173.0,1005.0,1.0,52.0,303.5,290.0,False
SplyAct2yr,334.975,32.0,293.5,1016.0,1.0,67.0,303.5,290.0,False
CORREL,336.30000000000007,194.0,293.5,1131.0,15.0,109.0,148.0,137.0,False
CDL_DOJI,336.59999999999997,174.0,132.0,1191.0,21.0,243.0,21.0,167.0,False
SplyAct180d,336.65000000000003,154.0,293.5,1077.0,15.0,217.0,124.0,154.0,False
SplyAdrTop100,337.1500000000001,59.0,293.5,1121.0,12.0,144.0,174.0,188.0,False
SplyAct90d,337.7,299.0,6.0,1080.0,7.0,140.0,171.0,290.0,False
Miner_Depositing_Addresses_All_Miners,339.54999999999995,213.0,7.0,1161.0,3.0,195.0,168.0,203.0,False
ADX,342.30000000000007,85.0,293.5,1163.0,13.0,155.0,207.0,104.0,False
Spent_Output_Value_Bands_USD,342.45000000000005,197.0,293.5,1098.0,15.0,183.0,189.0,105.0,False
Housing_Starts,342.55000000000007,157.0,20.0,1196.0,18.0,259.0,80.0,214.0,False
Oil_Vol30d,342.70000000000005,201.0,293.5,1164.0,14.0,247.0,22.0,120.0,False
Dollar_Index_Vol30d,343.09999999999997,253.0,128.0,1147.0,19.0,133.0,166.0,186.0,False
SplyAct4yr,345.2,123.0,293.5,1160.0,7.0,147.0,33.0,290.0,False
BlkWghtMean,346.15000000000003,300.0,125.0,1129.0,9.0,150.0,197.0,163.0,False
Nonfarm_Payrolls,346.40000000000003,69.0,189.0,1141.0,15.0,232.0,79.0,290.0,False
Block_Rewards_USD,346.65000000000003,135.0,187.0,1081.0,24.0,233.0,221.0,177.0,False
"Exchange_Outflow__Mean,_MA7_All_Exchanges",347.2,254.0,293.5,1133.0,20.0,186.0,173.0,60.0,False
AdrBal1in100MCnt,348.05,112.0,32.0,1129.0,11.0,173.0,245.0,290.0,False
"Exchange_to_Miner_Transactions_All_Exchanges,_All_Miners",348.25000000000006,288.0,148.0,1149.0,18.0,157.0,34.0,290.0,False
Exchange_Inflow_Spent_Output_Value_Bands_All_Exchanges,348.9,246.0,293.5,1078.0,6.0,148.0,167.0,208.0,False
"Exchange_to_Exchange_Transactions_All_Exchanges,_Spot_Exchanges",351.34999999999997,248.0,96.0,1170.0,11.0,222.0,182.0,138.0,False
FeeMeanUSD,351.85,277.0,293.5,1141.0,4.0,169.0,118.0,153.0,False
AROON_UP,353.5000000000001,73.0,293.5,1189.0,29.0,249.0,45.0,204.0,False
FlowInExUSD,354.67499999999995,144.0,162.0,1113.0,8.0,75.0,303.5,290.0,False
Miner_In_House_Transactions_All_Miners,355.3500000000001,204.0,222.0,1119.0,8.0,219.0,244.0,122.0,False
Spent_Output_Value_Bands_pct,355.6000000000001,211.0,293.5,1093.0,14.0,187.0,219.0,157.0,False
CDLENGULFING,355.90000000000003,141.0,73.0,1203.0,27.0,275.0,179.0,145.0,False
Gold_Vol30d,356.3,247.0,71.0,1156.0,14.0,246.0,145.0,217.0,False
AdrBal1in100KCnt,357.09999999999997,322.0,293.5,1072.0,3.0,166.0,190.0,182.0,False
UTXO_Count_Value_Bands_pct,358.525,221.0,157.0,1082.0,6.0,96.0,303.5,290.0,False
Block_Rewards,360.175,142.0,182.0,1109.0,21.0,239.0,303.5,143.0,False
Exchange_Withdrawing_Addresses_All_Exchanges,361.24999999999994,99.0,293.5,1124.0,11.0,121.0,226.0,290.0,False
