Date,Open,High,Low,Close,Volume,MVRV,RealizedPrice,Short_Term_Holder_SOPR,Supply_in_Loss,Spent_Output_Profit_Ratio__SOPR_Day__1,Net_Realized_Profit_and_Loss__NRPL,RSI_14,UTXOs_in_Loss,UTXOs_in_Loss_pct,Supply_in_Loss_pct,Dist_to_SMA200,Adjusted_SOPR__aSOPR,Price_to_Realized,MVRV_z_365,ROI30d,BB_PercentB_20,Drawdown_from_ATH,Sharpe_30d,Supply_in_Profit_pct,OBV,UTXOs_in_Profit_pct,CapMVRVCur,Supply_in_Profit,logret_1d,Stoch_K_14_3,Net_Unrealized_Loss__NUL,Realized_Cap_UTXO_Age_Bands_pct,Stoch_D_14_3,y
2015-01-10,276.8,276.8,276.8,276.8,0.0,0.9241025039118884,316.5245341449507,0.94244272,7364589.15732031,0.97145698,-10574396.36461051,29.49029710504989,10264940.0,63.60120098,53.73008457,-37.86619075640616,0.93444425,0.8744977723377392,-1.3038733795514894,-21.584180854981728,0.12513566569581897,-75.78493381973423,-4.676070156312877,46.25333529,224862.50631682013,36.35852526,0.9241025,6339778.06450895,0.0,28.311688311688325,0.44627515,2.25177048,27.52628250425606,0.0
2015-01-11,276.8,276.8,276.8,276.8,0.0,0.8737536692608795,316.1423429312878,0.97085579,7825238.07931312,0.98539799,-4024841.24622052,29.490297105049876,10562437.0,65.06488139,57.07555364,-37.64755347178445,0.96248365,0.8755549713255629,-1.411955863287031,-20.900725838715207,0.16500630166727026,-75.78493381973423,-4.49428034689809,42.89490235,224862.50631682013,34.92217639,0.87375367,5881026.14644925,0.0,28.311688311688325,0.49419064,1.22633045,28.311688311688325,1.0
2015-01-12,276.8,305.0,271.03,278.86,36859.0928167,0.8506970846362016,315.92387036679645,0.97583464,7905342.87059962,0.99341397,-2238614.83835939,31.24060701059541,10707114.0,65.74167169,57.64352823,-36.96543474319846,0.97679859,0.8826810069028205,-1.465776536100488,-21.94917151813702,0.21872224577360877,-75.60472053819034,-4.822961593651774,42.35351349,261721.59913352013,34.25562671,0.85069708,5808441.22849823,0.007414640023360436,36.15151515151517,0.52484051,0.8473532,30.924963924963915,0.0
2015-01-13,278.86,280.94,270.7,271.0,10521.87740835,0.8514675229480684,315.4756051035397,0.97182352,7924221.85957278,0.97953846,-5824044.63306311,28.348972510095166,10701681.0,65.70652988,57.76623535,-38.53543551216142,0.94445709,0.8590204618549104,-1.4658173349798254,-24.08112953832362,0.16601977448862076,-76.29233043767331,-5.355114074128336,42.18998798,251199.72172517012,34.26213242,0.85146752,5787512.77437237,-0.028591042887174147,24.242424242424242,0.52252151,1.14968925,29.56854256854255,1.0
2015-01-14,271.0,272.39,262.08,271.01,12942.03576205,0.7135059289038036,314.09426143339414,0.91485767,8089582.30655466,0.96543248,-15276703.4218053,28.358058106072363,10847119.0,66.6301813,58.95803905,-38.32354796288035,0.9060453,0.862830154117507,-1.7653968903216155,-22.264291655910284,0.19299899519200847,-76.29145561591825,-4.887444735216142,40.87539661,264141.7574872201,33.34987347,0.71350593,5608478.34342291,3.689968820185438e-05,24.257575757575744,0.72299067,1.50959094,28.21717171717169,0.0
2015-01-15,271.34,272.43,216.0,232.84,47151.31590212,0.5635797249341147,311.6464854756937,0.85488077,8291055.82883249,0.94290655,-29279062.4290194,18.64140816428764,10998578.0,67.55328924,60.41044689,-46.794143791088636,0.83409059,0.7471285923362674,-2.09036923840382,-34.20554409562293,-0.10557920776815607,-79.63065025501054,-6.424782856147497,39.39742854,216990.4415851001,32.41547868,0.56357972,5407115.76048789,-0.15180419816436794,16.03809523809524,1.05121453,1.39482434,21.512698412698384,0.0
2015-01-16,231.75,239.09,152.4,181.0,115896.43394496,0.68179854469812,311.4424532702138,0.94759428,7878337.11891996,0.98942136,-5697426.57145169,12.418086339331012,10765304.0,66.0300685,57.38750336,-58.44213095435581,0.9427374,0.5811667552045666,-1.8313677373536519,-48.525438671330654,-0.27068773881488006,-84.16572623327997,-7.110316519219007,42.60508225,101094.00764014012,33.9662268,0.68179854,5848959.81310738,-0.251854491137709,16.963226571767496,0.80808691,1.24235289,19.086299189146136,1.0
2015-01-17,181.9,233.9,161.1,218.81,89214.66523257,0.6675348531976274,310.9878141291662,0.96495532,7903502.24967377,0.98499799,-6258908.68110321,30.612934415141808,10784559.0,66.01089087,57.55624258,-49.54324076931973,0.93428272,0.703596700766928,-1.8616996057811155,-34.932199357678115,0.0660291345063787,-80.85802517737012,-3.311407399630246,42.40792168,190308.6728727101,33.97586357,0.66753485,5823366.66452458,0.1897067420767342,40.343843022902625,0.82049774,0.95762824,24.448388277588425,0.0
2015-01-18,218.69,223.15,192.0,207.05,47906.53516623,0.643250990219943,310.64831563945523,0.95457932,8034645.62920189,0.98035895,-4553354.26298713,28.62130400993999,10915399.0,66.39298833,58.49658066,-52.011634947720964,0.92826442,0.6665093276742774,-1.9124420505402027,-34.75246588724671,0.052558264663435876,-81.88681556132939,-3.2898973489274024,41.48899041,142402.1377064801,33.59453645,0.64325099,5698612.32411483,-0.05524346335098374,33.236027488901065,0.87613983,0.61021094,30.181032361190372,0.0
2015-01-19,207.16,212.84,192.17,198.56,21873.53541523,0.6800049329572142,310.4867452830234,0.97940204,7858911.65754223,0.99063641,-1910718.65488029,27.243305828732304,10749188.0,65.18340479,57.20121253,-53.73525057723174,0.96558106,0.6395120017732259,-1.8289149117691612,-37.370678778703,0.060813135284605704,-82.62953923138161,-3.6537977695996813,42.76216002,120528.6022912501,34.80095002,0.68000493,5875120.87630672,-0.04186898853527922,30.249017038007864,0.80499446,0.57551146,34.60962918327049,1.0
